Current (mA),Voltage (V),Light (mW)
0,-0.0898,4.788
1,2.9442,4.6602
2.0005,2.973,4.588
3.0001,2.9896,4.6705
3.9996,3.002,4.6911
5.0003,3.0121,4.7839
6.0006,3.0209,4.5653
7.0001,3.0288,4.786
7.9997,3.036,4.6622
9.0001,3.0425,4.588
10.3989,3.0443,4.6437
15.5258,3.0724,4.6478
20.0348,3.0936,4.6272
25.3448,3.1149,4.4375
30.3726,3.1342,4.3736
35.2402,3.1506,4.4148
40.3137,3.1673,4.188
45.3644,3.1818,4.5633
50.2853,3.1959,4.1096
55.336,3.2109,4.0787
60.4935,3.2238,3.9096
65.5746,3.2365,3.9612
70.3888,3.2484,4.0457
75.5997,3.2601,3.8003
80.307,3.2712,3.625
85.3348,3.2833,3.623
90.5685,3.2934,3.3817
95.2835,3.3037,3.4642
100.5402,3.3148,3.3529
105.7968,3.3245,3.2869
110.4355,3.3336,3.2456
115.4861,3.343,3.0869
120.9259,3.3531,2.992
125.3815,3.3615,2.7899
130.3787,3.3708,2.825
135.7651,3.3797,2.6744
140.5029,3.3877,2.6683
145.401,3.3966,2.5054
151.0239,3.4045,2.2146
155.8151,3.413,2.1383
160.5301,3.4205,2.0332
165.8401,3.429,1.796
170.5246,3.4358,1.7404
175.499,3.4442,1.5445
181.0226,3.4516,1.1527
185.5774,3.4587,0.9692
190.3687,3.466,0.6495
195.6558,3.4738,0.3959
200.8362,3.4805,3.0023
205.4138,3.4878,10
210.8612,3.4956,20
215.4388,3.5022,50
220.4666,3.5094,70
225.8301,3.516,90
230.5908,3.5233,110
235.7788,3.5303,130
240.387,3.537,150
246.2158,3.5439,170
250.6943,3.5504,190
255.8517,3.5578,210
260.2997,3.5639,230
265.7471,3.5704,250
270.3018,3.5772,270
275.8484,3.5839,290
280.6625,3.5901,310
285.5301,3.5966,330
290.451,3.603,350
295.6085,3.6095,370
300.3998,3.6157,390
305.191,3.6216,410
310.791,3.6278,430
315.5518,3.6343,450
320.549,3.6399,470
325.3174,3.6462,490
330.5511,3.6522,510
335.495,3.6579,530
340.3702,3.6638,550
345.4971,3.6698,570
350.2884,3.6757,590
355.1331,3.6815,610
360.6262,3.6872,630
365.2802,3.6927,650
370.491,3.6989,670
375.618,3.7044,690
380.3864,3.7099,710
385.3607,3.7156,730
390.9073,3.7209,750
394.8593,3.726,770
400.2762,3.7318,790
405.6168,3.7374,810
410.408,3.7425,830
415.4816,3.7484,850
420.7153,3.7535,870
425.0946,3.7585,890
430.3741,3.7642,910
435.6079,3.7693,930
440.1627,3.7748,950
445.6863,3.7799,970
450.2945,3.7848,990
455.4214,3.7904,1010
460.8917,3.7956,1030
465.2939,3.8002,1050
470.4971,3.8058,1070
475.029,3.8104,1090
480.1102,3.8159,1110
485.5499,3.8206,1130
490.2878,3.8255,1150
495.4147,3.8308,1170
500.3662,3.8353,1190
504.9973,3.8406,1210
510.437,3.8453,1230
514.946,3.8501,1250
520.462,3.8553,1270
525.383,3.8599,1290
530.5176,3.8647,1310
535.0189,3.869,1330
540.4358,3.8743,1350
544.9905,3.8783,1370
550.4303,3.8838,1390
555.6107,3.8883,1410
560.0891,3.8929,1430
565.094,3.8976,1450
570.5109,3.9019,1470
575.0885,3.9065,1490
580.1392,3.9112,1510
585.5865,3.9155,1530
589.8514,3.9204,1550
595.5582,3.9248,1570
600.0824,3.9294,1590
604.9805,3.9336,1610
610.5499,3.9385,1630
615.242,3.9424,1650
620.0333,3.9473,1670
625.5493,3.9514,1690
629.8981,3.9554,1710
635.3912,3.9605,1730
640.1291,3.9645,1750
644.8441,3.9688,1770
650.3601,3.9729,1790
655.1819,3.9773,1810
660.0189,3.9816,1830
665.6723,3.9859,1850
670.1508,3.9899,1870
675.3845,3.9944,1890
680.2521,3.9982,1910
685.3027,4.0026,1930
690.7196,4.0068,1950
695.2744,4.0109,1970
700.592,4.0148,1990
705.6656,4.0192,2010
710.2509,4.0228,2030
715.1947,4.0274,2050
720.5353,4.0314,2070
725.3265,4.0351,2090
730.423,4.0393,2110
735.8398,4.0435,2130
740.1657,4.0473,2150
745.4987,4.0513,2170
750.6866,4.055,2190
754.8981,4.0593,2210
760.6049,4.0635,2230
765.5487,4.0669,2250
770.0806,4.071,2270
775.65,4.0748,2290
780.3955,4.0784,2310
785.4462,4.0826,2330
790.7257,4.0864,2350
795.1813,4.0899,2370
800.7507,4.0942,2390
805.4123,4.0977,2410
810.0739,4.1015,2430
815.3839,4.1055,2450
820.6482,4.1091,2470
825.8286,4.1127,2490
830.1773,4.1166,2510
835.6171,4.1207,2530
840.6906,4.1237,2550
845.1462,4.1274,2570
850.7156,4.1314,2590
855.7968,4.1349,2610
860.2753,4.1384,2630
865.3488,4.1421,2650
870.1706,4.1457,2670
875.8926,4.1494,2690
880.7678,4.1531,2710
885.4218,4.1562,2730
890.6555,4.1603,2750
894.9509,4.1634,2770
900.8408,4.1673,2790
905.7846,4.1705,2810
910.4233,4.1742,2830
915.8859,4.1776,2850
920.3415,4.1809,2870
925.4684,4.1845,2890
930.9616,4.1879,2910
935.2875,4.1911,2930
940.4373,4.1948,2950
945.961,4.1981,2970
950.5692,4.2012,2990
955.4901,4.2049,3010
961.0138,4.2082,3030
965.3549,4.2115,3050
970.6726,4.2151,3070
976.1887,4.2183,3090
980.3009,4.2214,3110
985.6644,4.2251,3130
990.9286,4.2281,3150
995.0943,4.2314,3170
1000.641,4.235,3190
1006.058,4.238,3210
1010.323,4.241,3230
1015.762,4.2447,3250
1021.049,4.2479,3270
1025.528,4.2507,3290
1030.502,4.2542,3310
1035.683,4.2573,3330
1040.504,4.2606,3350
1045.654,4.2638,3370
1050.964,4.2668,3390
1055.42,4.2698,3410
1060.158,4.2731,3430
1065.964,4.2764,3450
1070.442,4.2792,3470
1074.997,4.2825,3490
1080.833,4.2857,3510
1085.464,4.2886,3530
1090.027,4.2915,3550
1095.596,4.2949,3570
1100.624,4.2977,3590
1104.996,4.3008,3610
1110.336,4.3038,3630
1115.616,4.307,3650
1120.537,4.3097,3670
1125.381,4.3131,3690
1131.134,4.3159,3710
1135.536,4.3186,3730
1140.404,4.3216,3750
1145.897,4.3245,3770
1150.116,4.3273,3790
1155.197,4.3305,3810
1160.896,4.3336,3830
1165.764,4.3361,3850
1170.532,4.3391,3870
1175.636,4.3419,3890
1180.244,4.3445,3910
1185.112,4.3478,3930
1190.941,4.3507,3950
1195.29,4.3535,3970
1199.768,4.3563,3990
1205.788,4.3593,4010
1210.052,4.3616,4030
1215.546,4.365,4050
1220.413,4.3673,4070
1225.052,4.3702,4090
1230.621,4.3733,4110
1235.489,4.3758,4130
1240.311,4.3788,4150
1245.827,4.3814,4170
1249.969,4.3839,4190
1255.203,4.387,4210
1260.803,4.3898,4230
1265.175,4.392,4250
1270.096,4.395,4270
1275.536,4.3978,4290
1279.884,4.4003,4310
1285.454,4.4033,4330
1290.688,4.406,4350
1295.433,4.4083,4370
1299.957,4.4111,4390
1305.87,4.4137,4410
1310.013,4.4161,4430
1315.376,4.4192,4450
1320.45,4.4216,4470
1325.401,4.4241,4490
1330.765,4.4269,4510
1334.877,4.4291,4530
1340.24,4.4319,4550
1345.528,4.4345,4570
1350.006,4.437,4590
1355.598,4.4396,4610
1360.55,4.4422,4630
1365.105,4.4444,4650
1369.713,4.4471,4670
1375.389,4.4497,4690
1380.699,4.4524,4710
