THE BIG SHORT
=============

mortgage	n. 抵押
mortgage-backed securities	住房抵押贷款
comatose	adj.昏睡的, 昏睡状态的
barely	adv. 仅仅；几乎不，几乎没有
crisis	n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的
collapse	v. 崩溃; 倒塌；塌下n. 崩溃，瓦解，突然失败
clue	n. 线索；（故事等的）情节
vt. 为...提供线索；为...提供情况
giant lie	巨大谎言
default	vi. 拖欠；不履行；不到场
n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对...处以缺席裁判
Great Depression	大萧条
awkward	adj. 尴尬的；笨拙的；棘手的；不合适的
compliment	v 赞扬，恭维（com全部+pli+ment→[让人]+分满足→恭维[别人]）
screw up	搞砸了（螺丝钉）
overdraft	n. 透支
hijack	v. 劫持
suffer	v. 遭受.....痛苦
rock solid	稳如磐石
dismissive	adj. 轻蔑的;鄙视的;不屑一顾的
superior	adj. 优越的，高傲的
subprime loan	次级贷款
do not patronize me	别敷衍我
tranche	打包在一起
churn	v. 搅拌；搅动
legit	adj. 合法的
excelled at doing	擅长
consistency	一致性，连贯性，密度
tragedy	n 悲剧；惨剧，悲惨事件
therapist	n. 治疗师
mean	adj. 卑劣的
piss off	生气
crap	n. 废物
interfere	v.干扰
miserable	adj. 悲惨的；痛苦的；卑鄙的
schmuck	n. 白痴
prevailing	adj. 盛行的
sentiment	n. 情绪，感情
solvency	偿付能力
pay as we go	即时支付
premium	n./adj. 溢价
prospectus	招股说明书
distressing	adj. 苦恼
inception	n. 起始
rivet	把目光集中于
testicle	n. 睾丸
violent	adj. 暴力的,猛烈的,极端的,曲解的
optimist	n. 乐观主义者；乐天派
sketchy	adj. 粗鲁的
armageddon	世界末日
doomsday	末日
authentic	adj. 真实的，可信的
obscene	adj. 污秽的，可恶的
crafty	adj. 狡猾的；灵巧的
morally	adv. 道德地
onerous	adj. 繁重的；麻烦的；负有义务的；负有法律责任的 副 词: onerously 名 词: onerousness
phenomenal	a. 非凡的,出众的,庞大的
capital	n. 资金，首都
giant	adj. 巨大的 n 巨人；巨兽
disgust	n. 厌恶，嫌恶
vt. 使厌恶；使作呕
crunch	v. 压碎
delinquent	adj.拖欠的；违法的
soar	高涨
sarcastic	adj. 讽刺的，挖苦的
panic	adj. 恐慌的
collateral	抵押物
itsy-bitsy	小小的
confess	v. 坦白, 承认
brag	v 吹牛 自夸
idiot	白痴
stripper	脱衣舞女
exotic	adj.异国情调的,外来的,奇异的
nude	n./adj.裸体（的）
refrain	v. 克制
reprehensible	应受谴责的
prudent	adj. 谨慎的；精明的；节俭的
polite	adj. 礼貌的
deteriorate	v. 恶化；变坏；衰退
delusional	妄想的；幻想的
obligation	n.义务, 职责, 债务
incentive	n. 激励；动机
hypocrite	n. 伪君子；伪善者
clueless	adj. 愚蠢的
crook	n. 骗子，坏蛋
cynical	adj. 愤世嫉俗的；冷嘲的
smug	n. 沾沾自喜的
uneventful	adj. 平稳的
poached	adj. 水煮的
spook	v惊吓；n鬼
gobbled	v. 狼吞虎咽
anxious	adj. 焦急的, 忧虑的
terrific	adj. 了不起
righteous	adj. 正义的；正直的；公正的
hilarious	adj.搞笑的
Moral Redemption	道德救赎
shocked	adj. 震惊的，震撼的
virtuous	adj.善良的, 有道德的, 贞洁的, 有效力的
untainted	无污染的
saint	圣人
smash	v. 粉碎；打碎
lashed	痛斥
insane	adj. 疯狂的；精神病的；极愚蠢的
unprecedented	adj. 前所未有的，空前的
apocalypse	大灾难，大动乱
fiduciary	信托的；监护人
palpable	adj.明显的，易觉察的
teetering	摇摇欲坠
hemorrhage	出血
decimate	v.毁掉大部分；大量杀死
plummeting	垂直落下
deuce	恶运
venerable	adj. 可敬的
tumultuous	adj. 动荡的
sullen	adj. 忧郁的
blam	v. 责备
gracious	adj.亲切的, 高尚的

